id,subject,hours,planId,type,parentId,stringNumber,blockId,departmentId,code,hoursSelfWork
2085232,Дополнительные главы математики,108,6609,subject,,5,76223,23,Б1.В.05,82
2085252,История науки и техники в области технических наук,72,6609,subject,,6,76223,25,Б1.В.06,56
2085233,Технологии автоматизации электроприводных систем,144,6609,subject,,7,76223,23,Б1.В.07,109
2085253,Альтернативная энергетика,108,6609,subject,,8,76223,37,Б1.В.08,84
2085234,Управление электроприводами,144,6609,subject,,9,76223,23,Б1.В.09,109
2085231,Электромеханотронные преобразователи энергии,72,6609,subject,,10,76223,23,Б1.В.10,42
2085254,Системы обеспечения безопасности технических средств управления,72,6609,subject,,11,76223,39,Б1.В.11,46
2085235,Моделирование изначально сложных систем,72,6609,subject,,12,76223,23,Б1.В.12,48
2085255,Эффективные промышленные установки,72,6609,subject,,13,76223,37,Б1.В.13,41
2085241,Организация баз данных в производственных системах,72,6609,subject,,14,76223,23,Б1.В.14,43
2085236,Управление машинами с пространственными движениями,72,6609,subject,,15,76223,23,Б1.В.15,34
2085240,Энергосбережение в электротехнических комплексах и системах,72,6609,subject,,16,76223,23,Б1.В.16,54
2085256,Интеллектуальные системы управления станциями возобновляемой энергии,72,6609,subject,,17,76223,23,Б1.В.17,48
2085257,Моделирование процессов в электроэнергетике,108,6609,subject,,18,76223,37,Б1.В.18,77
2085237,Дисциплины по выбору Б1.В.ДВ.1,108,6609,choice,,19,76223,,Б1.В.ДВ.01,65
2085238,Электромеханотронные комплексы и системы,108,6609,subject,"2,085,237",20,76223,23,Б1.В.ДВ.01.01,65
2085239,Автоматические электроприводные системы машин и технологических комплексов,108,6609,subject,"2,085,237",21,76223,23,Б1.В.ДВ.01.02,65
2085244,Энергоменеджмент,72,6609,subject,,22,76222,19,Б1.О.01,54
2085242,Дисциплины по выбору студента 1,216,6609,choice,,23,76222,,Б1.О.ДВ.01,54
2085243,Иностранный язык,216,6609,subject,"2,085,242",24,76222,9,Б1.О.ДВ.01.01,54
2085259,Русский язык как иностранный,216,6609,subject,"2,085,242",25,76222,41,Б1.О.ДВ.01.02,54
2085247,Производственная практика (проектная практика),432,6609,practice,,26,76226,23,Б2.В.01(П),426
2085248,Производственная практика (преддипломная практика),540,6609,practice,,27,76226,23,Б2.В.02(Пд),534
2085249,Учебная практика (ознакомительная практика),324,6609,practice,,28,76225,23,Б2.О.01(У),319
2085246,Производственная практика (научно-исследовательская работа),432,6609,practice,,29,76225,23,Б2.О.02(П),426
2085251,Подготовка к процедуре защиты и защита выпускной квалификационной работы,324,6609,stateExam,,30,76227,23,Б3.01,322
2085245,"Компьютерные, сетевые и информационные технологии",108,6609,subject,,31,76228,23,ФТД.01,95
2085258,Методы и средства математической оптимизации в области технических систем,108,6609,subject,,32,76228,25,ФТД.02,95
2085272,Теория принятия решений,108,6610,subject,,1,76231,23,Б1.В.01,90
2085269,Фундаментальные основы высокочастотной электротехники и электромагнитной технологии,180,6610,subject,,2,76231,37,Б1.В.02,153
2085271,Нейронные сети для математического моделирования устройств и систем,180,6610,subject,,3,76231,29,Б1.В.03,160
2085273,Дополнительные главы математики,108,6610,subject,,4,76231,23,Б1.В.04,82
2085274,Основы проектирования электротехнических систем,180,6610,subject,,5,76231,29,Б1.В.05,160
2085275,Индустриальные помехи и электромагнитная совместимость в электроэнергетике,108,6610,subject,,6,76231,29,Б1.В.06,90
2085276,История науки и техники в области технических наук,72,6610,subject,,7,76231,23,Б1.В.07,56
2085277,Современная элементная база технических средств систем управления,108,6610,subject,,8,76231,29,Б1.В.08,81
2085278,Системы обеспечения безопасности технических средств управления,72,6610,subject,,9,76231,39,Б1.В.09,46
2085279,Моделирование изначально сложных систем,72,6610,subject,,10,76231,23,Б1.В.10,48
2085280,Организация баз данных в производственных системах,72,6610,subject,,11,76231,23,Б1.В.11,43
2085281,Электрические сети,144,6610,subject,,12,76231,29,Б1.В.12,124
2085282,Электромагнитные процессы в трехфазных системах,72,6610,subject,,13,76231,29,Б1.В.13,46
2085283,Основы теории надежности электроэнергетических систем,72,6610,subject,,14,76231,29,Б1.В.14,54
2085284,Релейное управление для защиты электротехнических систем,144,6610,subject,,15,76231,29,Б1.В.15,122
2085285,Физико-технические основы современной энергетики,144,6610,subject,,16,76231,29,Б1.В.16,115
2085287,Энергосбережение в электротехнических комплексах и системах,72,6610,subject,,17,76231,23,Б1.В.18,54
2085260,Дисциплины по выбору Б1.В.ДВ.1,72,6610,choice,,18,76231,,Б1.В.ДВ.01,54
2085270,Социальные коммуникации в профессиональной среде,72,6610,subject,"2,085,260",19,76231,42,Б1.В.ДВ.01.01,54
2085286,Организационное поведение,72,6610,subject,"2,085,260",20,76231,42,Б1.В.ДВ.01.02,54
2085261,Энергоменеджмент,72,6610,subject,,21,76230,19,Б1.О.01,54
2085288,Дисциплины по выбору студента 1,216,6610,choice,,22,76230,,Б1.О.ДВ.01,54
2085289,Иностранный язык,216,6610,subject,"2,085,288",23,76230,9,Б1.О.ДВ.01.01,54
2085290,Русский язык как иностранный,216,6610,subject,"2,085,288",24,76230,41,Б1.О.ДВ.01.02,54
2085264,Производственная практика (организационно-управленческая практик),432,6610,practice,,25,76234,29,Б2.В.01(П),426
2085265,Производственная практика (преддипломная практика),540,6610,practice,,26,76234,29,Б2.В.02(Пд),534
2085266,Учебная практика (ознакомительная практика),324,6610,practice,,27,76233,29,Б2.О.01(У),319
2085263,Производственная практика (научно-исследовательская работа),432,6610,practice,,28,76233,29,Б2.О.02(П),426
2085267,Подготовка к процедуре защиты и защита выпускной квалификационной работы,324,6610,stateExam,,29,76235,29,Б3.01,322
2085262,"Компьютерные, сетевые и информационные технологии",108,6610,subject,,30,76236,23,ФТД.01,95
2085268,Методы и средства математической оптимизации в области технических систем,108,6610,subject,,31,76236,29,ФТД.02,95
2085292,Моделирование устройств в процессах разработки,180,6611,subject,,1,78534,23,Б1.В.01,143
2085291,Энергосбережение и качество электрической энергии в энергосистемах,180,6611,subject,,2,78534,37,Б1.В.02,155
2085311,Информационное обеспечение в электроэнергетике,180,6611,subject,,3,78534,23,Б1.В.03,148
2085294,Дополнительные главы математики,108,6611,subject,,4,78534,23,Б1.В.04,82
2085313,История науки и техники в области технических наук,72,6611,subject,,5,78534,25,Б1.В.05,56
2085295,Технологии автоматизации электроприводных систем,144,6611,subject,,6,78534,23,Б1.В.06,109
2085314,Альтернативная энергетика,108,6611,subject,,7,78534,37,Б1.В.07,84
2085296,Управление электроприводами,144,6611,subject,,8,78534,23,Б1.В.08,109
2085293,Электромеханотронные преобразователи энергии,72,6611,subject,,9,78534,23,Б1.В.09,46
2085315,Системы обеспечения безопасности технических средств управления,72,6611,subject,,10,78534,39,Б1.В.10,46
2085297,Моделирование изначально сложных систем,72,6611,subject,,11,78534,23,Б1.В.11,48
2085303,Организация баз данных в производственных системах,72,6611,subject,,12,78534,23,Б1.В.12,45
2085298,Управление машинами с пространственными движениями,72,6611,subject,,13,78534,23,Б1.В.13,40
2085302,Энергосбережение в электротехнических комплексах и системах,72,6611,subject,,14,78534,23,Б1.В.14,54
2085317,Интеллектуальные системы управления станциями возобновляемой энергии,72,6611,subject,,15,78534,23,Б1.В.15,50
2085318,Моделирование процессов в электроэнергетике,72,6611,subject,,16,78534,37,Б1.В.16,45
2085299,Дисциплины по выбору Б1.В.ДВ.1,72,6611,choice,,17,78534,,Б1.В.ДВ.01,29
2085300,Электромеханотронные комплексы и системы,72,6611,subject,"2,085,299",18,78534,23,Б1.В.ДВ.01.01,29
2085301,Автоматические электроприводные системы машин и технологических комплексов,72,6611,subject,"2,085,299",19,78534,23,Б1.В.ДВ.01.02,29
2085316,Теория принятия решений,72,6611,subject,,20,78533,23,Б1.О.01,54
2085324,Основы конструирования электротехнических устройств,72,6611,subject,,21,78533,37,Б1.О.02,34
2085321,Модуль 1,72,6611,choice,,22,78533,,Б1.О.ДВ.01,54
2085323,Энергоменеджмент,72,6611,subject,"2,085,321",23,78533,19,Б1.О.ДВ.01.01,54
2085322,Управление инженерными проектами,72,6611,subject,"2,085,321",24,78533,8,Б1.О.ДВ.01.02,54
2085325,Дисциплины по выбору Б1.В.ДВ.1,72,6611,choice,,25,78533,,Б1.О.ДВ.02,54
2085327,Организационное поведение,72,6611,subject,"2,085,325",26,78533,42,Б1.О.ДВ.02.01,54
2085326,Социальные коммуникации в профессиональной среде,72,6611,subject,"2,085,325",27,78533,42,Б1.О.ДВ.02.02,54
2085304,Дисциплины по выбору студента 1,216,6611,choice,,28,78533,,Б1.О.ДВ.03,54
2085305,Иностранный язык,216,6611,subject,"2,085,304",29,78533,9,Б1.О.ДВ.03.01,54
2085320,Русский язык как иностранный,216,6611,subject,"2,085,304",30,78533,41,Б1.О.ДВ.03.02,54
2085308,Производственная практика (проектная практика),432,6611,practice,,31,78537,23,Б2.В.01(П),426
2085309,Производственная практика (преддипломная практика),540,6611,practice,,32,78537,23,Б2.В.02(Пд),534
2085310,Учебная практика (ознакомительная практика),324,6611,practice,,33,78536,23,Б2.О.01(У),319
2085307,Производственная практика (научно-исследовательская работа),432,6611,practice,,34,78536,23,Б2.О.02(П),426
2085312,Подготовка к процедуре защиты и защита выпускной квалификационной работы,324,6611,stateExam,,35,78538,23,Б3.01,322
2085306,"Компьютерные, сетевые и информационные технологии",108,6611,subject,,36,78539,23,ФТД.01,95
2085319,Методы и средства математической оптимизации в области технических систем,108,6611,subject,,37,78539,25,ФТД.02,95
2085338,Фундаментальные основы высокочастотной электротехники и электромагнитной технологии,180,6612,subject,,1,78542,37,Б1.В.01,153
2085340,Нейронные сети для математического моделирования устройств и систем,180,6612,subject,,2,78542,29,Б1.В.02,160
2085342,Дополнительные главы математики,108,6612,subject,,3,78542,29,Б1.В.03,82
