ID,FileName,Title,StudyYear,SpecialtyId,DepartmentId,StudyFormId,StudyLevelId,StudyPeriod
6587,15.03.06_23_397.plx,15.03.06 Мехатроника и робототехника,2023-2024,1768,25,1,2,4
5639,15.04.06_22_287.plx,15.04.06 Мехатроника и робототехника,2023-2024,1805,25,1,3,2
6729,20.03.01_20_357.plx,20.03.01 Техносферная безопасность,2023-2024,294,7,1,2,4
6740,20.03.01_22_357.plx,20.03.01 Техносферная безопасность,2023-2024,294,7,1,2,4
7128,20.03.01_23_157.plx,20.03.01 Техносферная безопасность,2023-2024,294,7,1,2,4
6746,20.03.01_23_357.plx,20.03.01 Техносферная безопасность,2023-2024,294,7,1,2,4
6761,20.04.01_22_777.plx,20.04.01 Техносферная безопасность,2023-2024,1666,7,1,3,2
6776,20.04.01_23_777.plx,20.04.01 Техносферная безопасность,2023-2024,1666,7,1,3,2
6493,27.03.02_20_361.plx,27.03.02 Управление качеством,2023-2024,1722,15,1,2,4
6494,27.03.02_21_361.plx,27.03.02 Управление качеством,2023-2024,1722,15,1,2,4
6497,27.03.02_22_361.plx,27.03.02 Управление качеством,2023-2024,1722,15,1,2,4
6499,27.03.02_23_361.plx,27.03.02 Управление качеством,2023-2024,1722,15,1,2,4
6705,27.03.03_20_336.plx,27.03.03 Системный анализ и управление,2023-2024,368,2,1,2,4
6706,27.03.03_21_336.plx,27.03.03 Системный анализ и управление,2023-2024,368,2,1,2,4
6799,27.03.03_22_336.plx,27.03.03 Системный анализ и управление,2023-2024,368,2,1,2,4
6788,27.03.03_23_336.plx,27.03.03 Системный анализ и управление,2023-2024,368,2,1,2,4
6718,27.03.04_19_931.plx,27.03.04 Управление в технических системах,2023-2024,1744,1,3,2,5
6719,27.03.04_19_982.plx,27.03.04 Управление в технических системах,2023-2024,1751,1,2,2,5
6707,27.03.04_20_339.plx,27.03.04 Управление в технических системах,2023-2024,357,1,1,2,4
6569,27.03.04_20_391.plx,27.03.04 Управление в технических системах,2023-2024,413,25,1,2,4
6570,27.03.04_20_392.plx,27.03.04 Управление в технических системах,2023-2024,413,25,1,2,4
6571,27.03.04_20_393.plx,27.03.04 Управление в технических системах,2023-2024,413,12,1,2,4
6851,27.03.04_20_394.plx,27.03.04 Управление в технических системах,2023-2024,413,25,1,2,4
6720,27.03.04_20_931.plx,27.03.04 Управление в технических системах,2023-2024,1744,1,3,2,5
6721,27.03.04_20_982.plx,27.03.04 Управление в технических системах,2023-2024,1751,1,2,2,5
6708,27.03.04_21_339.plx,27.03.04 Управление в технических системах,2023-2024,357,1,1,2,4
6572,27.03.04_21_391.plx,27.03.04 Управление в технических системах,2023-2024,413,25,1,2,4
6573,27.03.04_21_392.plx,27.03.04 Управление в технических системах,2023-2024,413,25,1,2,4
6574,27.03.04_21_393.plx,27.03.04 Управление в технических системах,2023-2024,413,12,1,2,4
6722,27.03.04_21_931.plx,27.03.04 Управление в технических системах,2023-2024,1744,1,3,2,5
6723,27.03.04_21_982.plx,27.03.04 Управление в технических системах,2023-2024,1751,1,2,2,5
6800,27.03.04_22_339.plx,27.03.04 Управление в технических системах,2023-2024,357,1,1,2,4
6580,27.03.04_22_391.plx,27.03.04 Управление в технических системах,2023-2024,413,25,1,2,4
6581,27.03.04_22_392.plx,27.03.04 Управление в технических системах,2023-2024,413,25,1,2,4
6582,27.03.04_22_393.plx,27.03.04 Управление в технических системах,2023-2024,413,12,1,2,4
6856,27.03.04_22_931.plx,27.03.04 Управление в технических системах,2023-2024,1744,1,3,2,5
6855,27.03.04_22_982.plx,27.03.04 Управление в технических системах,2023-2024,1751,1,2,2,4
6891,27.03.04_23_191.plx,27.03.04 Управление в технических системах,2023-2024,413,25,1,2,4
6789,27.03.04_23_339.plx,27.03.04 Управление в технических системах,2023-2024,357,1,1,2,4
6588,27.03.04_23_391.plx,27.03.04 Управление в технических системах,2023-2024,413,25,1,2,4
6589,27.03.04_23_392.plx,27.03.04 Управление в технических системах,2023-2024,413,25,1,2,4
6590,27.03.04_23_393.plx,27.03.04 Управление в технических системах,2023-2024,413,12,1,2,4
6853,27.03.04_23_982.plx,27.03.04 Управление в технических системах,2023-2024,1751,1,2,2,5
6495,27.03.05_20_366.plx,27.03.05 Инноватика,2023-2024,1725,8,1,2,4
6496,27.03.05_21_366.plx,27.03.05 Инноватика,2023-2024,1725,8,1,2,4
6498,27.03.05_22_366.plx,27.03.05 Инноватика,2023-2024,1725,8,1,2,4
6500,27.03.05_23_366.plx,27.03.05 Инноватика,2023-2024,1725,8,1,2,4
6501,27.04.02_22_762.plx,27.04.02 Управление качеством,2023-2024,1724,15,1,3,2
6507,27.04.02_23_762.plx,27.04.02 Управление качеством,2023-2024,1724,15,1,3,2
6822,27.04.03_22_506.plx,27.04.03 Системный анализ и управление,2023-2024,482,2,1,3,2
6845,27.04.03_23_506.plx,27.04.03 Системный анализ и управление,2023-2024,482,2,1,3,2
6823,27.04.04_22_570 .plx,27.04.04 Управление в технических системах,2023-2024,397,1,1,3,2
6596,27.04.04_22_790.plx,27.04.04 Управление в технических системах,2023-2024,406,25,1,3,2
6597,27.04.04_22_791.plx,27.04.04 Управление в технических системах,2023-2024,406,25,1,3,2
7162,27.04.04_22_791р.plx,27.04.04 Управление в технических системах,2023-2024,406,25,1,3,2
6598,27.04.04_22_794.plx,27.04.04 Управление в технических системах,2023-2024,406,12,1,3,2
6599,27.04.04_22_797.plx,27.04.04 Управление в технических системах,2023-2024,406,25,1,3,2
6846,27.04.04_23_570 .plx,27.04.04 Управление в технических системах,2023-2024,397,1,1,3,2
6605,27.04.04_23_790.plx,27.04.04 Управление в технических системах,2023-2024,406,25,1,3,2
6606,27.04.04_23_791.plx,27.04.04 Управление в технических системах,2023-2024,406,25,1,3,2
7161,27.04.04_23_791р.plx,27.04.04 Управление в технических системах,2023-2024,406,25,1,3,2
6607,27.04.04_23_794.plx,27.04.04 Управление в технических системах,2023-2024,406,12,1,3,2
6608,27.04.04_23_797.plx,27.04.04 Управление в технических системах,2023-2024,406,25,1,3,2
6502,27.04.05_22_766.plx,27.04.05 Инноватика,2023-2024,1667,8,1,3,2
6503,27.04.05_22_767.plx,27.04.05 Инноватика,2023-2024,1667,8,1,3,2
6504,27.04.05_22_769.plx,"27.04.05 Инноватика
(Innovation)",2023-2024,1667,8,1,3,2
6508,27.04.05_23_766.plx,27.04.05 Инноватика,2023-2024,1667,8,1,3,2
6509,27.04.05_23_767.plx,27.04.05 Инноватика,2023-2024,1667,8,1,3,2
6510,27.04.05_23_769.plx,"27.04.05 Инноватика
(Innovation)",2023-2024,1667,8,1,3,2
6625,28.03.01_20_382.plx,28.03.01 Нанотехнологии и микросистемная техника,2023-2024,319,17,1,2,4
7136,28.03.01_21_382.plx,28.03.01 Нанотехнологии и микросистемная техника,2023-2024,319,17,1,2,4
6632,28.03.01_22_382.plx,28.03.01 Нанотехнологии и микросистемная техника,2023-2024,319,17,1,2,4
6639,28.03.01_23_382.plx,28.03.01 Нанотехнологии и микросистемная техника,2023-2024,319,17,1,2,4
6651,28.04.01_22_755.plx,28.04.01 Нанотехнологии и микросистемная техника,2023-2024,441,17,1,3,2
6652,28.04.01_22_756.plx,28.04.01 Нанотехнологии и микросистемная техника,2023-2024,441,17,1,3,2
6664,28.04.01_23_755.plx,28.04.01 Нанотехнологии и микросистемная техника,2023-2024,441,17,1,3,2
6665,28.04.01_23_756.plx,28.04.01 Нанотехнологии и микросистемная техника,2023-2024,441,17,1,3,2
6272,38.03.02_23_363.plx,38.03.02 Менеджмент,2023-2024,1920,19,1,2,4
6505,38.04.02_22_763.plx,38.04.02 Менеджмент,2023-2024,1802,19,1,3,2
6506,38.04.02_22_764.plx,38.04.02 Менеджмент,2023-2024,1802,15,1,3,2
6511,38.04.02_23_763.plx,38.04.02 Менеджмент,2023-2024,1802,19,1,3,2
6512,38.04.02_23_764.plx,38.04.02 Менеджмент,2023-2024,1802,15,1,3,2
6276,38.04.02_23_765.plx,38.04.02 Менеджмент,2023-2024,1802,15,1,3,2
6277,38.04.02_23_768.plx,38.04.02 Менеджмент,2023-2024,1802,44,1,3,2
6675,42.03.01_19_973.plx,42.03.01 Реклама и связи с общественностью,2023-2024,1731,26,3,2,5
6670,42.03.01_20_371.plx,42.03.01 Реклама и связи с общественностью,2023-2024,350,26,1,2,4
6777,42.03.01_21_371.plx,42.03.01 Реклама и связи с общественностью,2023-2024,350,26,1,2,4
6683,42.03.01_22_371.plx,42.03.01 Реклама и связи с общественностью,2023-2024,350,26,1,2,4
6676,42.03.01_22_973.plx,42.03.01 Реклама и связи с общественностью,2023-2024,1731,26,3,2,5
6686,42.03.01_23_371.plx,42.03.01 Реклама и связи с общественностью,2023-2024,350,26,1,2,4
6677,42.04.01_22_771.plx,42.04.01 Реклама и связи с общественностью,2023-2024,1669,26,1,3,2
6678,42.04.01_22_773.plx,42.04.01 Реклама и связи с общественностью,2023-2024,1669,26,1,3,2
7153,42.04.01_22_773с.plx,42.04.01 Реклама и связи с общественностью,2023-2024,1669,26,1,3,2
6680,42.04.01_23_771.plx,42.04.01 Реклама и связи с общественностью,2023-2024,1669,26,1,3,2
6681,42.04.01_23_773.plx,42.04.01 Реклама и связи с общественностью,2023-2024,1669,26,1,3,2
6671,45.03.02_20_373.plx,45.03.02 Лингвистика,2023-2024,351,9,1,2,4
6672,45.03.02_20_374.plx,45.03.02 Лингвистика,2023-2024,351,9,1,2,4
6673,45.03.02_21_373.plx,45.03.02 Лингвистика,2023-2024,351,9,1,2,4
6674,45.03.02_21_374.plx,45.03.02 Лингвистика,2023-2024,351,9,1,2,4
6684,45.03.02_22_373.plx,45.03.02 Лингвистика,2023-2024,351,9,1,2,4
6685,45.03.02_22_374.plx,45.03.02 Лингвистика,2023-2024,351,9,1,2,4
6687,45.03.02_23_373.plx,45.03.02 Лингвистика,2023-2024,351,9,1,2,4
6688,45.03.02_23_374.plx,45.03.02 Лингвистика,2023-2024,351,9,1,2,4
6679,45.04.02_22_772.plx,45.04.02 Лингвистика,2023-2024,1668,9,1,3,2
